type;securityLen;nthRep;encSize;encTime;decTime;opTime
aes;128;1;109;0.28;0.18;0.47
aes;128;2;110;0.27;0.17;0.45
aes;128;3;110;0.25;0.17;0.43
aes;128;4;110;0.27;0.17;0.45
aes;128;5;110;0.26;0.17;0.44
aes;192;1;110;0.30;0.21;0.52
aes;192;2;110;0.27;0.18;0.46
aes;192;3;110;0.29;0.21;0.51
aes;192;4;109;0.30;0.18;0.49
aes;192;5;109;0.30;0.19;0.50
aes;256;1;109;0.29;0.17;0.47
aes;256;2;110;0.38;0.21;0.60
aes;256;3;110;0.27;0.21;0.49
aes;256;4;109;0.25;0.18;0.44
aes;256;5;109;0.25;0.17;0.43
def_palis;128;1;1310720;261000;4000;104000
def_palis;128;2;1310720;237000;17000;142000
def_palis;128;3;1310720;235000;22000;226000
def_palis;128;4;1310720;250000;9000;733000
def_palis;128;5;1310720;233000;6000;130000
def_palis;192;1;1310720;189000;7000;102000
def_palis;192;2;1310720;278000;8000;135000
def_palis;192;3;1310720;414000;13000;162000
def_palis;192;4;1310720;167000;9000;150000
def_palis;192;5;1310720;188000;6000;122000
def_palis;256;1;2621440;384000;27000;346000
def_palis;256;2;2621440;300000;8000;302000
def_palis;256;3;2621440;335000;47000;618000
def_palis;256;4;2621440;320000;23000;539000
def_palis;256;5;2621440;370000;18000;440000
best_palis;128;1;327680;38000;1000;2000
best_palis;128;2;327680;31000;0;4000
best_palis;128;3;327680;47000;1000;11000
best_palis;128;4;327680;61000;1000;4000
best_palis;128;5;327680;58000;1000;5000
worst_palis;256;1;27525120;1486000;23000;8328000
worst_palis;256;2;27525120;1539000;22000;8820000
worst_palis;256;3;27525120;1502000;56000;9032000
worst_palis;256;4;27525120;1534000;33000;9400000
worst_palis;256;5;27525120;1662000;33000;11463000
